canSMILES_value,fr_Al_COO(脂肪族羧酸),fr_Al_OH(脂肪族羟基),fr_Al_OH_noTert(脂肪族羟基(不含叔醇)),fr_ArN(芳环上连接的含氮基团),fr_Ar_COO(芳香族羧酸),fr_Ar_N(芳香环上的氮原子),fr_Ar_NH(芳香胺(Ar-NH)),fr_Ar_OH(芳香羟基(酚羟基)),fr_COO(羧酸),fr_COO2(羧酸(SMARTS变体)),fr_C_O(羰基氧),fr_C_O_noCOO(羰基氧(不含羧酸)),fr_C_S(硫代羰基(C=S)),fr_HOCCN(C(OH)CCN结构(叔烷基或环状)),fr_Imine(亚胺(C=N)),fr_NH0(叔胺(NH0)),fr_NH1(仲胺(NH1)),fr_NH2(伯胺(NH2)),fr_N_O(羟胺基(N-OH)),fr_Ndealkylation1(XCCNR结构(N-脱烷基化位点1)),fr_Ndealkylation2(叔脂环胺(N-脱烷基化位点2)),fr_Nhpyrrole(吡咯型N-H氮),fr_SH(硫醇基(-SH)),fr_aldehyde(醛基(-CHO)),fr_alkyl_carbamate(烷基氨基甲酸酯),fr_alkyl_halide(卤代烷),fr_allylic_oxid(烯丙位氧化位点),fr_amide(酰胺),fr_amidine(脒基),fr_aniline(苯胺),fr_aryl_methyl(芳基甲基(可羟化位点)),fr_azide(叠氮基(-N3)),fr_azo(偶氮基(-N=N-)),fr_barbitur(巴比妥结构),fr_benzene(苯环),fr_benzodiazepine(苯并二氮䓬(无额外稠环)),fr_bicyclic(双环结构),fr_diazo(重氮基),fr_dihydropyridine(二氢吡啶),fr_epoxide(环氧基),fr_ester(酯基),fr_ether(醚氧(含苯氧基)),fr_furan(呋喃环),fr_guanido(胍基),fr_halogen(卤素原子),fr_hdrzine(肼基(N-N)),fr_hdrzone(腙基(C=N-N)),fr_imidazole(咪唑环),fr_imide(酰亚胺),fr_isocyan(异氰酸酯基(-N=C=O)),fr_isothiocyan(异硫氰酸酯基(-N=C=S)),fr_ketone(酮基),"fr_ketone_Topliss(酮基(Topliss定义,排除二芳基酮等))",fr_lactam(β-内酰胺),fr_lactone(内酯(环状酯)),fr_methoxy(甲氧基(-OCH3)),fr_morpholine(吗啉环),fr_nitrile(腈基(-C#N)),fr_nitro(硝基(-NO2)),fr_nitro_arom(芳环硝基),fr_nitro_arom_nonortho(非邻位芳环硝基),"fr_nitroso(亚硝基(-N=O,不含硝基))",fr_oxazole(噁唑环),fr_oxime(肟基(=N-OH)),fr_para_hydroxylation(对位羟化位点),fr_phenol(酚羟基),fr_phenol_noOrthoHbond(酚羟基(排除邻位分子内氢键)),fr_phos_acid(磷酸基),fr_phos_ester(磷酸酯基),fr_piperdine(哌啶环),fr_piperzine(哌嗪环),fr_priamide(伯酰胺),fr_prisulfonamd(伯磺酰胺),fr_pyridine(吡啶环),fr_quatN(季铵氮),fr_sulfide(硫醚),fr_sulfonamd(磺酰胺),fr_sulfone(砜基),fr_term_acetylene(末端炔),fr_tetrazole(四唑环),fr_thiazole(噻唑环),fr_thiocyan(硫氰酸酯基(-S-C#N)),fr_thiophene(噻吩环),fr_unbrch_alkane(无支链烷烃链(≥4)),fr_urea(脲基)
CC(=CCC1=CC(=C(C=C1O)O)C(=O)C(CC2=CC(=C(C=C2)O)CC=C(C)C)O)C,0,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(CSSCC(C)C(=O)N1CCCC1C(=O)O)C(=O)N2CCCC2C(=O)O,2,0,0,0,0,0,0,0,2,2,4,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C(#N)N=C(N)N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)OCC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,0,3,3,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(CC1=CC=C(C=C1)Cl)N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(C)C1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=CNC7=CC=CC(=C67)C5=C4)C)O,0,1,0,0,0,1,1,0,0,0,3,3,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC1=C(C=CC(=C1)CC2COC(C2CO)C3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)OC5C(C(C(C(O5)CO)O)O)O,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1=CC=C(C=C1)CCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)NC)O)(C)O)C)C)O)(C)O,0,5,3,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
