CID,Pollutant Name,CasMp,canSMILES_value,Complexity_value,CovalentUnitCount_value,DefinedAtomStereoCount_value,DefinedBondStereoCount_value,ExactMass_value,FormalCharge_value,HBondAcceptor_value,HBondDonor_value,HeavyAtomCount_value,MolecularWeight_value,MonoIsotopicWeight_value,RotatableBond_value,TPSA_value,UndefinedAtomStereoCount_value,UndefinedBondStereoCount_value,FCSP3_value,AtomCount_value,Kappa1_value,Kappa2_value,Kappa3_value,LogP_value,Cartridge_Class_C18 (ODS),Cartridge_Class_C8,Cartridge_Class_C4 / C2 / C1 / C30,Cartridge_Class_Cyclohexyl (CH/CYH),Cartridge_Class_Phenyl (PH),Cartridge_Class_PEP / HRP / DVB,Cartridge_Class_HLB (Hydrophilic-Lipophilic Balance),Cartridge_Class_ENVI-Carb,Cartridge_Class_LiChrolut EN,Cartridge_Class_SDB,Cartridge_Class_XAD,Cartridge_Class_Silica (SI),Cartridge_Class_Alumina,Cartridge_Class_Aminopropyl (NH2),Cartridge_Class_Cyanopropyl (CN),Cartridge_Class_Diol (2OH),Cartridge_Class_Florisil (Magnesium Silicate),Cartridge_Class_FL-PR (Florisil-Polymer Hybrid),Cartridge_Class_Polyamide,"Cartridge_Class_SCX, PRS, BCX, CCX","Cartridge_Class_WCX, CBA, CM","Cartridge_Class_SAX, QMA, QAX","Cartridge_Class_WAX, PSA, DEA","Cartridge_Class_MAX, MCX, AX, CX, Screen-A/C","Cartridge_Class_DPA, Polyimine, Triacetic","Cartridge_Class_Aldehyde, DNPH","Cartridge_Class_DAU, THC","Cartridge_Class_RDX, DBX","Cartridge_Class_Dry, DVB, EPH","Cartridge_Class_PS2, AC2, Carbon Black/PSA",Cartridge_Class_Reversed-Phase+Lipid Remove,Cartridge_Class_Reversed-Phase+Normal Phase,Cartridge_Class_Chelating Resin,Cartridge_Class_Reversed-Phase+SCX,Cartridge_Class_Molecularly Imprinted Columns,Cartridge_Class_Metal Complexation,Cartridge_Class_Covalent Boronate Affinity,Cartridge_Class_QuECHERS,Cartridge_Class_Physical Dispersion and Porous Structure,Cartridge_Class_MWCNT,Cartridge_Class_Unknown,Cartridge_Class_Null Cartridge,Sample loading_labels,Condition_labels,Wash_labels,Elute_labels,Reconstitute_labels
['10001604'],Kanzonol Y,['1-131-CAS-29399'],CC(=CCC1=CC(=C(C=C1O)O)C(=O)C(CC2=CC(=C(C=C2)O)CC=C(C)C)O)C,617.0,1,1,0,410.209320068359,0,5,4,30,410.5,410.209320068359,8,98.0,0,0,0.32,30,23.23110509118954,10.1215003579255,6.224498440220032,4.607100000000005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1],"[1, 0]",[],[1],[1]
['10002934'],Captopril disulfide,['1-101-CAS-184297'],CC(CSSCC(C)C(=O)N1CCCC1C(=O)O)C(=O)N2CCCC2C(=O)O,565.0,1,4,0,432.138885498046,0,8,2,28,432.600006103515,432.138885498046,9,166.0,0,0,0.7777777777777778,28,22.86480664857352,10.38340635859696,5.559764999777883,1.7912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0],"[3, 0]",[0],[3],[0]
['10005'],Dicyandiamide,"['1-124-CAS-297496', '2-141-CAS-183178', '2-141-CAS-182868', '1-143-CAS-456700', '1-124-CAS-351941', '1-143-CAS-571623', '1-124-CAS-298313', '1-143-CAS-452537', '1-124-CAS-96754', '1-124-CAS-246801', '1-124-CAS-74180', '1-124-CAS-296219', '2-141-CAS-182537', '1-143-CAS-190853']",C(#N)N=C(N)N,100.0,1,0,0,84.0435943603515,0,2,2,6,84.0800018310546,84.0435943603515,0,88.1999969482421,0,0,0.0,6,4.76,2.025957446808511,2.759999999999999,-1.25912,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,"[3, 0]","[2, 3, 14, 0]","[4, 12, 0]","[14, 12, 1, 3, 4]","[4, 0]"
['10006384'],Quercetin 3-<ital>O</ital>-(6-<ital>O</ital>-acetyl-β-<smallcap>D</smallcap>-glucopyranoside),"['1-131-CAS-8955', '1-124-CAS-544036', '1-124-CAS-66507', '1-124-CAS-279575', '1-124-CAS-88101', '1-124-CAS-280948', '1-124-CAS-281691', '1-124-CAS-279553']",CC(=O)OCC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,861.0,1,5,0,506.106048583984,0,13,7,36,506.399993896484,506.106048583984,6,213.0,0,0,0.3043478260869565,36,25.06489136980348,9.544225418053953,4.593514790711714,0.03189999999999926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0],"[1, 0]",[0],"[1, 0]",[4]
['10007'],Chlorphentermine,"['1-125-CAS-35003', '1-102-CAS-48509', '1-125-CAS-552551', '1-125-CAS-197180']",CC(C)(CC1=CC=C(C=C1)Cl)N,137.0,1,0,0,183.081481933593,0,1,1,12,183.679992675781,183.081481933593,2,26.0,0,0,0.4,12,9.557183958151702,3.461460988295771,3.244738765570308,2.6198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[9, 19]","[0, 1, 19]","[8, 0]",[1],[36]
['10007294'],(<ital>R</ital>)-(+)-Nadifloxacin,"['1-143-CAS-432882', '1-116-CAS-433254']",CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O,631.0,1,1,0,360.148529052734,0,7,2,26,360.399993896484,360.148529052734,2,81.099998474121,0,0,0.4736842105263158,26,17.02643512895739,6.08756588911286,2.493236238276521,2.307100000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0],"[1, 0]",[0],[1],[]
['10007994'],Ergocorninine,"['1-131-CAS-237085', '1-124-CAS-499704', '1-124-CAS-353722', '2-141-CAS-166138', '1-124-CAS-177750', '1-124-CAS-154618', '1-124-CAS-468511', '1-124-CAS-492954', '1-124-CAS-328627', '1-124-CAS-60856', '2-141-CAS-164734', '1-124-CAS-562878', '1-124-CAS-177838', '1-124-CAS-22295', '1-124-CAS-114439', '1-124-CAS-344890', '1-124-CAS-352611', '1-124-CAS-423822']",CC(C)C1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=CNC7=CC=CC(=C67)C5=C4)C)O,1170.0,1,6,0,561.295104980468,0,6,3,41,561.700012207031,561.295104980468,4,118.0,0,0,0.5806451612903226,41,26.67390359414843,8.89425846627465,3.50023700578295,2.040200000000001,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"[42, 46, 3, 24, 4, 10]","[4, 1, 0]","[24, 4, 10]","[4, 42]","[3, 17, 4]"
['10009802'],Clemastanin B,['1-131-CAS-149463'],COC1=C(C=CC(=C1)CC2COC(C2CO)C3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)OC5C(C(C(C(O5)CO)O)O)O,978.0,1,13,0,684.262939453125,0,16,9,48,684.700012207031,684.262939453125,12,247.0,0,0,0.625,48,36.44083453772772,15.79788280293607,7.350567531453723,-2.400099999999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0],"[1, 0]",[0],[2],[2]
['1001'],Benzeneethanamine,"['1-124-CAS-329121', '1-102-CAS-111207', '1-124-CAS-343741', '1-143-CAS-269004', '1-124-CAS-350075', '1-124-CAS-155135', '1-124-CAS-82963', '1-122-CAS-94168', '1-124-CAS-447305', '2-114-CAS-235660', '1-132-CAS-41666', '1-124-CAS-136946', '1-124-CAS-538669', '1-124-CAS-211747', '1-124-CAS-569838', '1-124-CAS-450896', '1-124-CAS-44097', '1-124-CAS-47358', '2-138-CAS-31605', '1-124-CAS-557362', '1-124-CAS-184976', '2-114-CAS-79959', '1-124-CAS-163293', '1-124-CAS-344273', '1-124-CAS-347646', '1-124-CAS-220083', '1-124-CAS-90894', '1-124-CAS-196858', '2-138-CAS-39171', '1-101-CAS-101744', '1-124-CAS-493411', '2-114-CAS-235943', '1-124-CAS-494779', '1-124-CAS-365059', '1-124-CAS-46014', '1-124-CAS-346572', '1-124-CAS-329304', '1-143-CAS-516728', '1-124-CAS-566850', '1-143-CAS-270753', '1-124-CAS-88199', '1-125-CAS-65873', '1-124-CAS-111887', '1-124-CAS-41893', '1-124-CAS-207095', '1-124-CAS-346218', '2-114-CAS-234343', '1-124-CAS-327513', '1-124-CAS-343932', '1-143-CAS-180096', '2-138-CAS-51898', '2-114-CAS-180094', '1-124-CAS-327785', '1-124-CAS-366965', '1-124-CAS-345277', '1-124-CAS-90121', '1-124-CAS-447138', '1-124-CAS-208686', '1-120-CAS-64607', '1-124-CAS-42959', '1-124-CAS-554910', '1-124-CAS-348368', '1-124-CAS-101398', '1-124-CAS-330471', '2-114-CAS-235630', '1-124-CAS-167538', '1-124-CAS-55330', '2-114-CAS-235540', '2-138-CAS-47876', '1-124-CAS-115318', '1-124-CAS-28892']",C1=CC=C(C=C1)CCN,65.0,1,0,0,121.089149475097,0,1,1,9,121.180000305175,121.089149475097,2,26.0,0,0,0.25,9,6.302249388753057,3.253988636849075,1.859038601827228,1.1878,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"[29, 12, 2, 3, 17, 30, 34, 0]","[29, 19, 1, 2, 3, 0]","[29, 19, 1, 2, 8, 34, 0]","[27, 14, 1, 2, 3, 24]","[2, 8, 3, 5, 34, 0]"
['10010092'],<ital>N</ital>-Demethylerythromycin A,"['1-143-CAS-369630', '1-139-CAS-539658', '1-143-CAS-504214']",CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)NC)O)(C)O)C)C)O)(C)O,1150.0,1,18,0,719.445617675781,0,14,6,50,719.900024414062,719.445617675781,7,203.0,0,0,0.9444444444444444,50,43.10719862749904,16.7958766099046,9.06967589729665,1.443400000000005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],"[1, 0]",[2],[1],[1]
