CasMp,Sample loading,Condition,Wash,Elute,Reconstitute
['1-143-CAS-3222199'],,,,,
['1-143-CAS-3181964'],unknown,,,nitric acid+water,nitric acid+water
['1-124-CAS-3180232'],unknown,,,nitric acid+water,nitric acid+water
['1-143-CAS-3223246'],,,,,
['1-143-CAS-3188464'],,,,,
['1-143-CAS-3226810'],,,,,
['1-143-CAS-3193010'],,,,hexane,acetonitrile
['1-143-CAS-3223113'],,,,,
['1-143-CAS-3184606'],,ethanol; toluene,unknown,,
['1-142-CAS-3185610'],,ethanol; toluene,unknown,,
['1-142-CAS-3184763'],,ethanol; toluene,unknown,,
['1-142-CAS-3184419'],,ethanol; toluene,unknown,,
['1-142-CAS-3182594'],,ethanol; toluene,unknown,,
['1-142-CAS-3178655'],,ethanol; toluene,unknown,,
['1-124-CAS-3182803'],,ethanol; toluene,unknown,,
['1-124-CAS-3180433'],,ethanol; toluene,unknown,,
['1-143-CAS-3193224'],,,,methanol,acetonitrile
['1-143-CAS-3184032'],,,,acetone+ethyl acetate,
['1-143-CAS-3191610'],water,,methanol,methanol,methanol
['1-143-CAS-3190177'],,,,,
['1-143-CAS-3223819'],,,,,
['1-143-CAS-3187639'],methanol+water,water,water,,
['1-143-CAS-3192715'],methanol+water,unknown,unknown,,
['1-143-CAS-3190882'],water,,,,
['1-143-CAS-3186580'],,hydrochloric acid; water; unknown,water,hydrochloric acid,
['1-124-CAS-3188914'],,hydrochloric acid; water; unknown,water,hydrochloric acid,
['1-143-CAS-3227832'],acetonitrile,acetonitrile,acetonitrile+methanol,methanol,
['1-143-CAS-3187710'],methanol+water,unknown,unknown,,
['1-143-CAS-3185180'],water,methanol; water,water,methanol,ethanol
['1-143-CAS-3182542'],water,,,,
['1-143-CAS-3225776'],,,,,
['1-143-CAS-3189333'],water,,,,
['1-143-CAS-3189311'],methanol+water,unknown,unknown,,
['1-143-CAS-3183548'],water,,water,hydrochloric acid,
['1-143-CAS-3229256'],ammonium acetate,,water,nitric acid+water,
['1-143-CAS-3184037'],phosphate,,,hydrochloric acid,
['1-124-CAS-3183078'],phosphate,,,hydrochloric acid,
['1-143-CAS-3195954'],water,ethyl acetate; acetone; methanol; unknown,,acetone; dichloromethane,hexane
['1-143-CAS-3197145'],,,,acetonitrile,acetonitrile
['1-143-CAS-3230595'],water,methanol; water,,methanol,
['1-143-CAS-3189363'],methanol+water,water,water,,
['1-143-CAS-3186875'],,,,dichloromethane,acetonitrile
['1-143-CAS-3188892'],,methanol,water,ammonium hydroxide+methanol,water
['1-143-CAS-3184606'],water,,,hydrochloric acid,
['1-124-CAS-3182803'],water,,,hydrochloric acid,
['1-124-CAS-3180433'],water,,,hydrochloric acid,
['1-143-CAS-3189052'],,,,hydrochloric acid+water,
['1-143-CAS-3188455'],,acetonitrile; methanol; water,water,acetonitrile; methanol,methanol+water
['1-120-CAS-3193638'],,acetonitrile; methanol; water,water,acetonitrile; methanol,methanol+water
['1-120-CAS-3192028'],,acetonitrile; methanol; water,water,acetonitrile; methanol,methanol+water
['1-120-CAS-3191818'],,acetonitrile; methanol; water,water,acetonitrile; methanol,methanol+water
['1-120-CAS-3190919'],,acetonitrile; methanol; water,water,acetonitrile; methanol,methanol+water
['1-120-CAS-3190814'],,acetonitrile; methanol; water,water,acetonitrile; methanol,methanol+water
['1-143-CAS-3183739'],acetic acid+sodium acetate,methanol; water,,methanol,
['1-143-CAS-3180531'],,nitric acid+water; water; nitric acid+sodium hydroxide,,,
['1-143-CAS-3182559'],,,,sodium hydroxide,
['1-143-CAS-3191020'],,water,water,hydrochloric acid,
['1-124-CAS-3196180'],,water,water,hydrochloric acid,
['1-143-CAS-3189135'],unknown,,unknown,nitric acid+water,
['1-143-CAS-3228808'],unknown,methanol; water,,methanol,
['1-143-CAS-3189911'],water,nitric acid; methanol,water,benzene,
['1-143-CAS-3229847'],water,methanol; unknown,methanol+water,methanol,methanol
['1-143-CAS-3182382'],water,dichloromethane; methanol; water,,dichloromethane,acetonitrile
['1-143-CAS-3191068'],,methanol; water,water,methanol,methanol
['1-143-CAS-3190483'],unknown,methanol; water,,methanol,methanol
['1-143-CAS-3187802'],methanol+water,methanol; water,,methanol,methanol
['1-143-CAS-3229781'],,,water,nitric acid+water,water
['1-143-CAS-3186737'],unknown,ethyl acetate; methanol; water,methanol+water,ethyl acetate,unknown
['2-109-CAS-3183924'],water,methanol; water,water,methanol,water
['2-109-CAS-3183748'],water,methanol; water,water,methanol,water
['1-143-CAS-3189551'],methanol+water,water,water,,
['1-143-CAS-3222864'],water,methanol; water,,methanol,
['1-143-CAS-3193154'],,formic acid+methanol; water; EDTA,water,formic acid+methanol,unknown
['1-143-CAS-231859'],,formic acid+methanol; water; EDTA,water,formic acid+methanol,unknown
['1-143-CAS-3184855'],water,,water,nitric acid,water
['2-109-CAS-3182902'],water,methanol; water,water,methanol,water
['2-109-CAS-3179325'],water,methanol; water,water,methanol,water
['1-143-CAS-3184096'],water,methanol; water,,water,
['1-143-CAS-3187319'],,formic acid+methanol; water; EDTA,water,formic acid+methanol,unknown
['1-143-CAS-214888'],,formic acid+methanol; water; EDTA,water,formic acid+methanol,unknown
['2-109-CAS-3182799'],methanol,methanol; water,water,methanol,water
['2-109-CAS-3181855'],methanol,methanol; water,water,methanol,water
['1-142-CAS-3230969'],,,,nitric acid,
['1-124-CAS-3227111'],,,,,acetonitrile
['1-124-CAS-3224613'],,,,,acetonitrile
['1-124-CAS-3223003'],,,,,acetonitrile
['1-124-CAS-3189837'],,,,,acetonitrile
['1-124-CAS-3187504'],,,,,acetonitrile
['1-142-CAS-3231095'],,,,nitric acid,
['1-132-CAS-3229443'],,methanol; water,,dichloromethane,
['1-142-CAS-3184763'],water,,,acetic acid+nitric acid,
['1-139-CAS-3230326'],acetone+hexane,hexane,,hexane; dichloromethane,
['1-142-CAS-3183124'],,,,nitric acid+water,nitric acid+water
['1-142-CAS-3196844'],water,,,hydrochloric acid+water,
['1-139-CAS-3194444'],,,,diethyl ether+heptane,
['1-132-CAS-3227537'],water,methanol; water,,methanol,
['1-142-CAS-3179749'],water,,water,phosphate,
['1-142-CAS-3178655'],water,,,phosphate,
['1-142-CAS-3183076'],acetic acid+sodium acetate,,water,nitric acid+water,
['1-142-CAS-3230683'],unknown,,,nitric acid,
['1-124-CAS-3226917'],,,,,acetonitrile
['1-132-CAS-3230045'],water,methanol; water,,methanol,
['1-132-CAS-3229462'],water,methanol; water,,acetonitrile,
['1-142-CAS-3184960'],,,,nitric acid+water,nitric acid+water
['1-142-CAS-3179552'],water,,,hydrochloric acid,hydrochloric acid
['1-132-CAS-3229587'],,methanol; water,,methanol,
['1-143-CAS-3177897'],water,methanol; water,,methanol; water,
['1-124-CAS-3225825'],,,,,acetonitrile
['1-143-CAS-3178412'],water,,,hydrochloric acid,
['1-124-CAS-3184389'],water,,,hydrochloric acid,
['1-142-CAS-3181931'],water,,water,hydrochloric acid,
['1-125-CAS-3230960'],sodium acetate,,water; methanol+water,acetonitrile+methanol,acetonitrile
['1-132-CAS-3229963'],,methanol; water,,ethyl acetate,
['1-142-CAS-3178920'],water,,water,sulfuric acid,
['1-142-CAS-3184884'],water,,water,methanol,
['1-142-CAS-3184437'],water,,water,methanol,
['1-142-CAS-3184286'],water,,water,methanol,
['1-142-CAS-3182234'],water,,water,methanol,
['1-142-CAS-3179867'],water,,water,methanol,
['1-142-CAS-3179632'],water,,water,methanol,
['1-132-CAS-3228455'],water,methanol; water,,ethanol,
['1-131-CAS-3185687'],water,,,,
['1-131-CAS-3183300'],water,,,,
['1-142-CAS-3185610'],water,,,acetic acid+hydrochloric acid,
['1-124-CAS-3227071'],,,,,acetonitrile
['1-124-CAS-3223379'],,,,,acetonitrile
['1-124-CAS-3189482'],,,,,acetonitrile
['1-124-CAS-3186943'],,,,,acetonitrile
