CasMp,Sample loading,Condition,Wash,Elute,Reconstitute
['1-143-CAS-3181964'],"(unknown, null)",,,"(nitric acid+water, null)","(nitric acid+water, null)"
['1-124-CAS-3180232'],"(unknown, null)",,,"(nitric acid+water, null)","(nitric acid+water, null)"
['1-143-CAS-3191610'],"(water, null)",,"(methanol, null)","(methanol, null)","(methanol, null)"
['1-143-CAS-3187639'],"(methanol+water, 0.3333333333333333)","(water, null)","(water, null)",,
['1-143-CAS-3192715'],"(methanol+water, 0.3)","(unknown, null)","(unknown, null)",,
['1-143-CAS-3186580'],,"(hydrochloric acid, null); (water, null); (unknown, null)","(water, null)","(hydrochloric acid, null)",
['1-124-CAS-3188914'],,"(hydrochloric acid, null); (water, null); (unknown, null)","(water, null)","(hydrochloric acid, null)",
['1-143-CAS-3227832'],"(acetonitrile, null)","(acetonitrile, null)","(acetonitrile+methanol, 0.97)","(methanol, null)",
['1-143-CAS-3187710'],"(methanol+water, 0.3)","(unknown, null)","(unknown, null)",,
['1-143-CAS-3185180'],"(water, null)","(methanol, null); (water, null)","(water, null)","(methanol, null); (methanol, null)","(ethanol, null)"
['1-143-CAS-3189311'],"(methanol+water, 0.3)","(unknown, null)","(unknown, null)",,
['1-143-CAS-3183548'],"(water, null)",,"(water, null)","(hydrochloric acid, null)",
['1-143-CAS-3229256'],"(ammonium acetate, null)",,"(water, null)","(nitric acid+water, null)",
['1-143-CAS-3195954'],"(water, null)","(ethyl acetate, null); (acetone, null); (methanol, null); (unknown, null)",,"(acetone, null); (dichloromethane, null)","(hexane, null)"
['1-143-CAS-3230595'],"(water, null)","(methanol, null); (water, null)",,"(methanol, null)",
['1-143-CAS-3189363'],"(methanol+water, 0.3)","(water, null)","(water, null)",,
['1-143-CAS-3188892'],,"(methanol, null)","(water, null)","(ammonium hydroxide+methanol, 0.05)","(water, null)"
['1-143-CAS-3188455'],,"(acetonitrile, null); (methanol, null); (water, null)","(water, null)","(acetonitrile, null); (methanol, null)","(methanol+water, 0.1)"
['1-120-CAS-3193638'],,"(acetonitrile, null); (methanol, null); (water, null)","(water, null)","(acetonitrile, null); (methanol, null)","(methanol+water, 0.1)"
['1-120-CAS-3192028'],,"(acetonitrile, null); (methanol, null); (water, null)","(water, null)","(acetonitrile, null); (methanol, null)","(methanol+water, 0.1)"
['1-120-CAS-3191818'],,"(acetonitrile, null); (methanol, null); (water, null)","(water, null)","(acetonitrile, null); (methanol, null)","(methanol+water, 0.1)"
['1-120-CAS-3190919'],,"(acetonitrile, null); (methanol, null); (water, null)","(water, null)","(acetonitrile, null); (methanol, null)","(methanol+water, 0.1)"
['1-120-CAS-3190814'],,"(acetonitrile, null); (methanol, null); (water, null)","(water, null)","(acetonitrile, null); (methanol, null)","(methanol+water, 0.1)"
['1-143-CAS-3183739'],"(acetic acid+sodium acetate, null)","(methanol, null); (water, null)",,"(methanol, null)",
['1-143-CAS-3191020'],,"(water, null)","(water, null)","(hydrochloric acid, null)",
['1-124-CAS-3196180'],,"(water, null)","(water, null)","(hydrochloric acid, null)",
['1-143-CAS-3189135'],"(unknown, null)",,"(unknown, null)","(nitric acid+water, null); (nitric acid+water, null)",
['1-143-CAS-3228808'],"(unknown, null)","(methanol, null); (water, null)",,"(methanol, null)",
['1-143-CAS-3189911'],"(water, null)","(nitric acid, null); (methanol, null)","(water, null)","(benzene, null)",
['1-143-CAS-3229847'],"(water, null)","(methanol, null); (unknown, null)","(methanol+water, 0.05)","(methanol, null)","(methanol, null)"
